Text Length,Algorithm,Operation,Mean (ms),Std Dev (ms),Notes
50,RSA,Encryption,0.0981,±0.0048,
50,RSA,Decryption,0.0845,±0.0028,
50,AES,Encryption,2.5402,±0.1563,
50,AES,Decryption,4.5783,±0.0754,
50,3DES,Encryption,7.0586,±0.7534,
50,3DES,Decryption,6.3955,±0.1126,
50,Vigenere,Encryption,0.0173,±0.0012,
50,Vigenere,Decryption,0.0177,±0.0002,
100,RSA,Encryption,0.1959,±0.0053,
100,RSA,Decryption,0.1624,±0.0032,
100,AES,Encryption,4.1436,±0.0314,
100,AES,Decryption,7.8768,±0.0622,
100,3DES,Encryption,12.7648,±1.1643,
100,3DES,Decryption,12.2667,±0.2234,
100,Vigenere,Encryption,0.0353,±0.0017,
100,Vigenere,Decryption,0.0361,±0.0004,
500,RSA,Encryption,1.0813,±0.0990,
500,RSA,Decryption,0.8788,±0.0866,
500,AES,Encryption,19.1557,±0.5252,
500,AES,Decryption,41.5132,±9.5694,
500,3DES,Encryption,58.8840,±3.9935,
500,3DES,Decryption,60.8472,±3.8207,
500,Vigenere,Encryption,0.1727,±0.0082,
500,Vigenere,Decryption,0.1899,±0.0203,
1000,RSA,Encryption,2.0407,±0.0588,
1000,RSA,Decryption,1.6932,±0.0209,
1000,AES,Encryption,38.2041,±2.0569,
1000,AES,Decryption,80.4609,±16.8192,
1000,3DES,Encryption,159.9284,±62.0144,
1000,3DES,Decryption,119.9218,±7.2556,
1000,Vigenere,Encryption,0.3960,±0.0451,
1000,Vigenere,Decryption,0.4231,±0.0559,
5000,RSA,Encryption,13.3492,±6.3452,
5000,RSA,Decryption,8.3994,±0.1203,
5000,AES,Encryption,214.0105,±60.7215,
5000,AES,Decryption,559.1193,±177.6681,
5000,3DES,Encryption,709.5534,±118.1864,
5000,3DES,Decryption,762.0468,±224.1671,
5000,Vigenere,Encryption,1.9695,±0.1778,
5000,Vigenere,Decryption,2.0090,±0.1474,
